trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
"101_20110701","04:30:00","04:30:00","San Jose Caltrain",1,,,
"101_20110701","04:35:00","04:35:00","Santa Clara Caltrain",2,,,
"101_20110701","04:40:00","04:40:00","Lawrence Caltrain",3,,,
"101_20110701","04:44:00","04:44:00","Sunnyvale Caltrain",4,,,
"101_20110701","04:49:00","04:49:00","Mountain View Caltrain",5,,,
"101_20110701","04:53:00","04:53:00","San Antonio Caltrain",6,,,
"101_20110701","04:57:00","04:57:00","California Ave Caltrain",7,,,
"101_20110701","05:01:00","05:01:00","Palo Alto Caltrain",8,,,
"101_20110701","05:04:00","05:04:00","Menlo Park Caltrain",9,,,
"101_20110701","05:09:00","05:09:00","Redwood City Caltrain",10,,,
"101_20110701","05:13:00","05:13:00","San Carlos Caltrain",11,,,
"101_20110701","05:16:00","05:16:00","Belmont Caltrain",12,,,
"101_20110701","05:19:00","05:19:00","Hillsdale Caltrain",13,,,
"101_20110701","05:22:00","05:22:00","Hayward Park Caltrain",14,,,
"101_20110701","05:25:00","05:25:00","San Mateo Caltrain",15,,,
"101_20110701","05:28:00","05:28:00","Burlingame Caltrain",16,,,
"101_20110701","05:33:00","05:33:00","Millbrae Caltrain",17,,,
"101_20110701","05:37:00","05:37:00","San Bruno Caltrain",18,,,
"101_20110701","05:41:00","05:41:00","So. San Francisco Caltrain",19,,,
"101_20110701","05:47:00","05:47:00","Bayshore Caltrain",20,,,
"101_20110701","05:52:00","05:52:00","22nd Street Caltrain",21,,,
"101_20110701","06:01:00","06:01:00","San Francisco Caltrain",22,,,
"102_20110701","04:55:00","04:55:00","San Francisco Caltrain",1,,,
"102_20110701","05:00:00","05:00:00","22nd Street Caltrain",2,,,
"102_20110701","05:05:00","05:05:00","Bayshore Caltrain",3,,,
"102_20110701","05:11:00","05:11:00","So. San Francisco Caltrain",4,,,
"102_20110701","05:15:00","05:15:00","San Bruno Caltrain",5,,,
"102_20110701","05:19:00","05:19:00","Millbrae Caltrain",6,,,
"102_20110701","05:23:00","05:23:00","Burlingame Caltrain",7,,,
"102_20110701","05:26:00","05:26:00","San Mateo Caltrain",8,,,
"102_20110701","05:29:00","05:29:00","Hayward Park Caltrain",9,,,
"102_20110701","05:32:00","05:32:00","Hillsdale Caltrain",10,,,
"102_20110701","05:35:00","05:35:00","Belmont Caltrain",11,,,
"102_20110701","05:38:00","05:38:00","San Carlos Caltrain",12,,,
"102_20110701","05:43:00","05:43:00","Redwood City Caltrain",13,,,
"102_20110701","05:48:00","05:48:00","Menlo Park Caltrain",14,,,
"102_20110701","05:51:00","05:51:00","Palo Alto Caltrain",15,,,
"102_20110701","05:55:00","05:55:00","California Ave Caltrain",16,,,
"102_20110701","05:59:00","05:59:00","San Antonio Caltrain",17,,,
"102_20110701","06:03:00","06:03:00","Mountain View Caltrain",18,,,
"102_20110701","06:08:00","06:08:00","Sunnyvale Caltrain",19,,,
"102_20110701","06:12:00","06:12:00","Lawrence Caltrain",20,,,
"102_20110701","06:17:00","06:17:00","Santa Clara Caltrain",21,,,
"102_20110701","06:26:00","06:26:00","San Jose Caltrain",22,,,
"103_20110701","04:58:00","04:58:00","Tamien Caltrain",1,,,
"103_20110701","05:05:00","05:05:00","San Jose Caltrain",2,,,
"103_20110701","05:10:00","05:10:00","Santa Clara Caltrain",3,,,
"103_20110701","05:15:00","05:15:00","Lawrence Caltrain",4,,,
"103_20110701","05:19:00","05:19:00","Sunnyvale Caltrain",5,,,
"103_20110701","05:24:00","05:24:00","Mountain View Caltrain",6,,,
"103_20110701","05:28:00","05:28:00","San Antonio Caltrain",7,,,
"103_20110701","05:32:00","05:32:00","California Ave Caltrain",8,,,
"103_20110701","05:36:00","05:36:00","Palo Alto Caltrain",9,,,
"103_20110701","05:39:00","05:39:00","Menlo Park Caltrain",10,,,
"103_20110701","05:44:00","05:44:00","Redwood City Caltrain",11,,,
"103_20110701","05:48:00","05:48:00","San Carlos Caltrain",12,,,
"103_20110701","05:51:00","05:51:00","Belmont Caltrain",13,,,
"103_20110701","05:54:00","05:54:00","Hillsdale Caltrain",14,,,
"103_20110701","05:57:00","05:57:00","Hayward Park Caltrain",15,,,
"103_20110701","06:00:00","06:00:00","San Mateo Caltrain",16,,,
"103_20110701","06:03:00","06:03:00","Burlingame Caltrain",17,,,
"103_20110701","06:08:00","06:08:00","Millbrae Caltrain",18,,,
"103_20110701","06:12:00","06:12:00","San Bruno Caltrain",19,,,
"103_20110701","06:16:00","06:16:00","So. San Francisco Caltrain",20,,,
"103_20110701","06:22:00","06:22:00","Bayshore Caltrain",21,,,
"103_20110701","06:27:00","06:27:00","22nd Street Caltrain",22,,,
"103_20110701","06:36:00","06:36:00","San Francisco Caltrain",23,,,
"104_20110701","05:25:00","05:25:00","San Francisco Caltrain",1,,,
"104_20110701","05:30:00","05:30:00","22nd Street Caltrain",2,,,
"104_20110701","05:35:00","05:35:00","Bayshore Caltrain",3,,,
"104_20110701","05:41:00","05:41:00","So. San Francisco Caltrain",4,,,
"104_20110701","05:45:00","05:45:00","San Bruno Caltrain",5,,,
"104_20110701","05:49:00","05:49:00","Millbrae Caltrain",6,,,
"104_20110701","05:53:00","05:53:00","Burlingame Caltrain",7,,,
"104_20110701","05:56:00","05:56:00","San Mateo Caltrain",8,,,
"104_20110701","05:59:00","05:59:00","Hayward Park Caltrain",9,,,
"104_20110701","06:02:00","06:02:00","Hillsdale Caltrain",10,,,
"104_20110701","06:05:00","06:05:00","Belmont Caltrain",11,,,
"104_20110701","06:08:00","06:08:00","San Carlos Caltrain",12,,,
"104_20110701","06:13:00","06:13:00","Redwood City Caltrain",13,,,
"104_20110701","06:18:00","06:18:00","Menlo Park Caltrain",14,,,
"104_20110701","06:21:00","06:21:00","Palo Alto Caltrain",15,,,
"104_20110701","06:25:00","06:25:00","California Ave Caltrain",16,,,
"104_20110701","06:29:00","06:29:00","San Antonio Caltrain",17,,,
"104_20110701","06:33:00","06:33:00","Mountain View Caltrain",18,,,
"104_20110701","06:38:00","06:38:00","Sunnyvale Caltrain",19,,,
"104_20110701","06:42:00","06:42:00","Lawrence Caltrain",20,,,
"104_20110701","06:47:00","06:47:00","Santa Clara Caltrain",21,,,
"104_20110701","06:56:00","06:56:00","San Jose Caltrain",22,,,
"104_20110701","07:03:00","07:03:00","Tamien Caltrain",23,,,
"134_20110701","09:07:00","09:07:00","San Francisco Caltrain",1,,,
"134_20110701","09:12:00","09:12:00","22nd Street Caltrain",2,,,
"134_20110701","09:17:00","09:17:00","Bayshore Caltrain",3,,,
"134_20110701","09:23:00","09:23:00","So. San Francisco Caltrain",4,,,
"134_20110701","09:27:00","09:27:00","San Bruno Caltrain",5,,,
"134_20110701","09:31:00","09:31:00","Millbrae Caltrain",6,,,
"134_20110701","09:35:00","09:35:00","Burlingame Caltrain",7,,,
"134_20110701","09:38:00","09:38:00","San Mateo Caltrain",8,,,
"134_20110701","09:41:00","09:41:00","Hayward Park Caltrain",9,,,
"134_20110701","09:44:00","09:44:00","Hillsdale Caltrain",10,,,
"134_20110701","09:47:00","09:47:00","Belmont Caltrain",11,,,
"134_20110701","09:50:00","09:50:00","San Carlos Caltrain",12,,,
"134_20110701","09:55:00","09:55:00","Redwood City Caltrain",13,,,
"134_20110701","10:00:00","10:00:00","Menlo Park Caltrain",14,,,
"134_20110701","10:03:00","10:03:00","Palo Alto Caltrain",15,,,
"134_20110701","10:07:00","10:07:00","California Ave Caltrain",16,,,
"134_20110701","10:11:00","10:11:00","San Antonio Caltrain",17,,,
"134_20110701","10:15:00","10:15:00","Mountain View Caltrain",18,,,
"134_20110701","10:20:00","10:20:00","Sunnyvale Caltrain",19,,,
"134_20110701","10:24:00","10:24:00","Lawrence Caltrain",20,,,
"134_20110701","10:29:00","10:29:00","Santa Clara Caltrain",21,,,
"134_20110701","10:38:00","10:38:00","San Jose Caltrain",22,,,
"135_20110701","09:10:00","09:10:00","San Jose Caltrain",1,,,
"135_20110701","09:15:00","09:15:00","Santa Clara Caltrain",2,,,
"135_20110701","09:20:00","09:20:00","Lawrence Caltrain",3,,,
"135_20110701","09:24:00","09:24:00","Sunnyvale Caltrain",4,,,
"135_20110701","09:29:00","09:29:00","Mountain View Caltrain",5,,,
"135_20110701","09:33:00","09:33:00","San Antonio Caltrain",6,,,
"135_20110701","09:37:00","09:37:00","California Ave Caltrain",7,,,
"135_20110701","09:41:00","09:41:00","Palo Alto Caltrain",8,,,
"135_20110701","09:44:00","09:44:00","Menlo Park Caltrain",9,,,
"135_20110701","09:49:00","09:49:00","Redwood City Caltrain",10,,,
"135_20110701","09:53:00","09:53:00","San Carlos Caltrain",11,,,
"135_20110701","09:56:00","09:56:00","Belmont Caltrain",12,,,
"135_20110701","09:59:00","09:59:00","Hillsdale Caltrain",13,,,
"135_20110701","10:02:00","10:02:00","Hayward Park Caltrain",14,,,
"135_20110701","10:05:00","10:05:00","San Mateo Caltrain",15,,,
"135_20110701","10:08:00","10:08:00","Burlingame Caltrain",16,,,
"135_20110701","10:13:00","10:13:00","Millbrae Caltrain",17,,,
"135_20110701","10:17:00","10:17:00","San Bruno Caltrain",18,,,
"135_20110701","10:21:00","10:21:00","So. San Francisco Caltrain",19,,,
"135_20110701","10:27:00","10:27:00","Bayshore Caltrain",20,,,
"135_20110701","10:32:00","10:32:00","22nd Street Caltrain",21,,,
"135_20110701","10:41:00","10:41:00","San Francisco Caltrain",22,,,
"138_20110701","10:07:00","10:07:00","San Francisco Caltrain",1,,,
"138_20110701","10:12:00","10:12:00","22nd Street Caltrain",2,,,
"138_20110701","10:17:00","10:17:00","Bayshore Caltrain",3,,,
"138_20110701","10:23:00","10:23:00","So. San Francisco Caltrain",4,,,
"138_20110701","10:27:00","10:27:00","San Bruno Caltrain",5,,,
"138_20110701","10:31:00","10:31:00","Millbrae Caltrain",6,,,
"138_20110701","10:35:00","10:35:00","Burlingame Caltrain",7,,,
"138_20110701","10:38:00","10:38:00","San Mateo Caltrain",8,,,
"138_20110701","10:41:00","10:41:00","Hayward Park Caltrain",9,,,
"138_20110701","10:44:00","10:44:00","Hillsdale Caltrain",10,,,
"138_20110701","10:47:00","10:47:00","Belmont Caltrain",11,,,
"138_20110701","10:50:00","10:50:00","San Carlos Caltrain",12,,,
"138_20110701","10:55:00","10:55:00","Redwood City Caltrain",13,,,
"138_20110701","11:00:00","11:00:00","Menlo Park Caltrain",14,,,
"138_20110701","11:03:00","11:03:00","Palo Alto Caltrain",15,,,
"138_20110701","11:07:00","11:07:00","California Ave Caltrain",16,,,
"138_20110701","11:11:00","11:11:00","San Antonio Caltrain",17,,,
"138_20110701","11:15:00","11:15:00","Mountain View Caltrain",18,,,
"138_20110701","11:20:00","11:20:00","Sunnyvale Caltrain",19,,,
"138_20110701","11:24:00","11:24:00","Lawrence Caltrain",20,,,
"138_20110701","11:29:00","11:29:00","Santa Clara Caltrain",21,,,
"138_20110701","11:38:00","11:38:00","San Jose Caltrain",22,,,
"139_20110701","10:10:00","10:10:00","San Jose Caltrain",1,,,
"139_20110701","10:15:00","10:15:00","Santa Clara Caltrain",2,,,
"139_20110701","10:20:00","10:20:00","Lawrence Caltrain",3,,,
"139_20110701","10:24:00","10:24:00","Sunnyvale Caltrain",4,,,
"139_20110701","10:29:00","10:29:00","Mountain View Caltrain",5,,,
"139_20110701","10:33:00","10:33:00","San Antonio Caltrain",6,,,
"139_20110701","10:37:00","10:37:00","California Ave Caltrain",7,,,
"139_20110701","10:41:00","10:41:00","Palo Alto Caltrain",8,,,
"139_20110701","10:44:00","10:44:00","Menlo Park Caltrain",9,,,
"139_20110701","10:49:00","10:49:00","Redwood City Caltrain",10,,,
"139_20110701","10:53:00","10:53:00","San Carlos Caltrain",11,,,
"139_20110701","10:56:00","10:56:00","Belmont Caltrain",12,,,
"139_20110701","10:59:00","10:59:00","Hillsdale Caltrain",13,,,
"139_20110701","11:02:00","11:02:00","Hayward Park Caltrain",14,,,
"139_20110701","11:05:00","11:05:00","San Mateo Caltrain",15,,,
"139_20110701","11:08:00","11:08:00","Burlingame Caltrain",16,,,
"139_20110701","11:13:00","11:13:00","Millbrae Caltrain",17,,,
"139_20110701","11:17:00","11:17:00","San Bruno Caltrain",18,,,
"139_20110701","11:21:00","11:21:00","So. San Francisco Caltrain",19,,,
"139_20110701","11:27:00","11:27:00","Bayshore Caltrain",20,,,
"139_20110701","11:32:00","11:32:00","22nd Street Caltrain",21,,,
"139_20110701","11:41:00","11:41:00","San Francisco Caltrain",22,,,
"142_20110701","11:07:00","11:07:00","San Francisco Caltrain",1,,,
"142_20110701","11:12:00","11:12:00","22nd Street Caltrain",2,,,
"142_20110701","11:17:00","11:17:00","Bayshore Caltrain",3,,,
"142_20110701","11:23:00","11:23:00","So. San Francisco Caltrain",4,,,
"142_20110701","11:27:00","11:27:00","San Bruno Caltrain",5,,,
"142_20110701","11:31:00","11:31:00","Millbrae Caltrain",6,,,
"142_20110701","11:35:00","11:35:00","Burlingame Caltrain",7,,,
"142_20110701","11:38:00","11:38:00","San Mateo Caltrain",8,,,
"142_20110701","11:41:00","11:41:00","Hayward Park Caltrain",9,,,
"142_20110701","11:44:00","11:44:00","Hillsdale Caltrain",10,,,
"142_20110701","11:47:00","11:47:00","Belmont Caltrain",11,,,
"142_20110701","11:50:00","11:50:00","San Carlos Caltrain",12,,,
"142_20110701","11:55:00","11:55:00","Redwood City Caltrain",13,,,
"142_20110701","12:00:00","12:00:00","Menlo Park Caltrain",14,,,
"142_20110701","12:03:00","12:03:00","Palo Alto Caltrain",15,,,
"142_20110701","12:07:00","12:07:00","California Ave Caltrain",16,,,
"142_20110701","12:11:00","12:11:00","San Antonio Caltrain",17,,,
"142_20110701","12:15:00","12:15:00","Mountain View Caltrain",18,,,
"142_20110701","12:20:00","12:20:00","Sunnyvale Caltrain",19,,,
"142_20110701","12:24:00","12:24:00","Lawrence Caltrain",20,,,
"142_20110701","12:29:00","12:29:00","Santa Clara Caltrain",21,,,
"142_20110701","12:38:00","12:38:00","San Jose Caltrain",22,,,
"143_20110701","11:10:00","11:10:00","San Jose Caltrain",1,,,
"143_20110701","11:15:00","11:15:00","Santa Clara Caltrain",2,,,
"143_20110701","11:20:00","11:20:00","Lawrence Caltrain",3,,,
"143_20110701","11:24:00","11:24:00","Sunnyvale Caltrain",4,,,
"143_20110701","11:29:00","11:29:00","Mountain View Caltrain",5,,,
"143_20110701","11:33:00","11:33:00","San Antonio Caltrain",6,,,
"143_20110701","11:37:00","11:37:00","California Ave Caltrain",7,,,
"143_20110701","11:41:00","11:41:00","Palo Alto Caltrain",8,,,
"143_20110701","11:44:00","11:44:00","Menlo Park Caltrain",9,,,
"143_20110701","11:49:00","11:49:00","Redwood City Caltrain",10,,,
"143_20110701","11:53:00","11:53:00","San Carlos Caltrain",11,,,
"143_20110701","11:56:00","11:56:00","Belmont Caltrain",12,,,
"143_20110701","11:59:00","11:59:00","Hillsdale Caltrain",13,,,
"143_20110701","12:02:00","12:02:00","Hayward Park Caltrain",14,,,
"143_20110701","12:05:00","12:05:00","San Mateo Caltrain",15,,,
"143_20110701","12:08:00","12:08:00","Burlingame Caltrain",16,,,
"143_20110701","12:13:00","12:13:00","Millbrae Caltrain",17,,,
"143_20110701","12:17:00","12:17:00","San Bruno Caltrain",18,,,
"143_20110701","12:21:00","12:21:00","So. San Francisco Caltrain",19,,,
"143_20110701","12:27:00","12:27:00","Bayshore Caltrain",20,,,
"143_20110701","12:32:00","12:32:00","22nd Street Caltrain",21,,,
"143_20110701","12:41:00","12:41:00","San Francisco Caltrain",22,,,
"146_20110701","12:07:00","12:07:00","San Francisco Caltrain",1,,,
"146_20110701","12:12:00","12:12:00","22nd Street Caltrain",2,,,
"146_20110701","12:17:00","12:17:00","Bayshore Caltrain",3,,,
"146_20110701","12:23:00","12:23:00","So. San Francisco Caltrain",4,,,
"146_20110701","12:27:00","12:27:00","San Bruno Caltrain",5,,,
"146_20110701","12:31:00","12:31:00","Millbrae Caltrain",6,,,
"146_20110701","12:35:00","12:35:00","Burlingame Caltrain",7,,,
"146_20110701","12:38:00","12:38:00","San Mateo Caltrain",8,,,
"146_20110701","12:41:00","12:41:00","Hayward Park Caltrain",9,,,
"146_20110701","12:44:00","12:44:00","Hillsdale Caltrain",10,,,
"146_20110701","12:47:00","12:47:00","Belmont Caltrain",11,,,
"146_20110701","12:50:00","12:50:00","San Carlos Caltrain",12,,,
"146_20110701","12:55:00","12:55:00","Redwood City Caltrain",13,,,
"146_20110701","13:00:00","13:00:00","Menlo Park Caltrain",14,,,
"146_20110701","13:03:00","13:03:00","Palo Alto Caltrain",15,,,
"146_20110701","13:07:00","13:07:00","California Ave Caltrain",16,,,
"146_20110701","13:11:00","13:11:00","San Antonio Caltrain",17,,,
"146_20110701","13:15:00","13:15:00","Mountain View Caltrain",18,,,
"146_20110701","13:20:00","13:20:00","Sunnyvale Caltrain",19,,,
"146_20110701","13:24:00","13:24:00","Lawrence Caltrain",20,,,
"146_20110701","13:29:00","13:29:00","Santa Clara Caltrain",21,,,
"146_20110701","13:38:00","13:38:00","San Jose Caltrain",22,,,
"147_20110701","12:10:00","12:10:00","San Jose Caltrain",1,,,
"147_20110701","12:15:00","12:15:00","Santa Clara Caltrain",2,,,
"147_20110701","12:20:00","12:20:00","Lawrence Caltrain",3,,,
"147_20110701","12:24:00","12:24:00","Sunnyvale Caltrain",4,,,
"147_20110701","12:29:00","12:29:00","Mountain View Caltrain",5,,,
"147_20110701","12:33:00","12:33:00","San Antonio Caltrain",6,,,
"147_20110701","12:37:00","12:37:00","California Ave Caltrain",7,,,
"147_20110701","12:41:00","12:41:00","Palo Alto Caltrain",8,,,
"147_20110701","12:44:00","12:44:00","Menlo Park Caltrain",9,,,
"147_20110701","12:49:00","12:49:00","Redwood City Caltrain",10,,,
"147_20110701","12:53:00","12:53:00","San Carlos Caltrain",11,,,
"147_20110701","12:56:00","12:56:00","Belmont Caltrain",12,,,
"147_20110701","12:59:00","12:59:00","Hillsdale Caltrain",13,,,
"147_20110701","13:02:00","13:02:00","Hayward Park Caltrain",14,,,
"147_20110701","13:05:00","13:05:00","San Mateo Caltrain",15,,,
"147_20110701","13:08:00","13:08:00","Burlingame Caltrain",16,,,
"147_20110701","13:13:00","13:13:00","Millbrae Caltrain",17,,,
"147_20110701","13:17:00","13:17:00","San Bruno Caltrain",18,,,
"147_20110701","13:21:00","13:21:00","So. San Francisco Caltrain",19,,,
"147_20110701","13:27:00","13:27:00","Bayshore Caltrain",20,,,
"147_20110701","13:32:00","13:32:00","22nd Street Caltrain",21,,,
"147_20110701","13:41:00","13:41:00","San Francisco Caltrain",22,,,
"150_20110701","13:07:00","13:07:00","San Francisco Caltrain",1,,,
"150_20110701","13:12:00","13:12:00","22nd Street Caltrain",2,,,
"150_20110701","13:17:00","13:17:00","Bayshore Caltrain",3,,,
"150_20110701","13:23:00","13:23:00","So. San Francisco Caltrain",4,,,
"150_20110701","13:27:00","13:27:00","San Bruno Caltrain",5,,,
"150_20110701","13:31:00","13:31:00","Millbrae Caltrain",6,,,
"150_20110701","13:35:00","13:35:00","Burlingame Caltrain",7,,,
"150_20110701","13:38:00","13:38:00","San Mateo Caltrain",8,,,
"150_20110701","13:41:00","13:41:00","Hayward Park Caltrain",9,,,
"150_20110701","13:44:00","13:44:00","Hillsdale Caltrain",10,,,
"150_20110701","13:47:00","13:47:00","Belmont Caltrain",11,,,
"150_20110701","13:50:00","13:50:00","San Carlos Caltrain",12,,,
"150_20110701","13:55:00","13:55:00","Redwood City Caltrain",13,,,
"150_20110701","14:00:00","14:00:00","Menlo Park Caltrain",14,,,
"150_20110701","14:03:00","14:03:00","Palo Alto Caltrain",15,,,
"150_20110701","14:07:00","14:07:00","California Ave Caltrain",16,,,
"150_20110701","14:11:00","14:11:00","San Antonio Caltrain",17,,,
"150_20110701","14:15:00","14:15:00","Mountain View Caltrain",18,,,
"150_20110701","14:20:00","14:20:00","Sunnyvale Caltrain",19,,,
"150_20110701","14:24:00","14:24:00","Lawrence Caltrain",20,,,
"150_20110701","14:29:00","14:29:00","Santa Clara Caltrain",21,,,
"150_20110701","14:38:00","14:38:00","San Jose Caltrain",22,,,
"151_20110701","13:10:00","13:10:00","San Jose Caltrain",1,,,
"151_20110701","13:15:00","13:15:00","Santa Clara Caltrain",2,,,
"151_20110701","13:20:00","13:20:00","Lawrence Caltrain",3,,,
"151_20110701","13:24:00","13:24:00","Sunnyvale Caltrain",4,,,
"151_20110701","13:29:00","13:29:00","Mountain View Caltrain",5,,,
"151_20110701","13:33:00","13:33:00","San Antonio Caltrain",6,,,
"151_20110701","13:37:00","13:37:00","California Ave Caltrain",7,,,
"151_20110701","13:41:00","13:41:00","Palo Alto Caltrain",8,,,
"151_20110701","13:44:00","13:44:00","Menlo Park Caltrain",9,,,
"151_20110701","13:49:00","13:49:00","Redwood City Caltrain",10,,,
"151_20110701","13:53:00","13:53:00","San Carlos Caltrain",11,,,
"151_20110701","13:56:00","13:56:00","Belmont Caltrain",12,,,
"151_20110701","13:59:00","13:59:00","Hillsdale Caltrain",13,,,
"151_20110701","14:02:00","14:02:00","Hayward Park Caltrain",14,,,
"151_20110701","14:05:00","14:05:00","San Mateo Caltrain",15,,,
"151_20110701","14:08:00","14:08:00","Burlingame Caltrain",16,,,
"151_20110701","14:13:00","14:13:00","Millbrae Caltrain",17,,,
"151_20110701","14:17:00","14:17:00","San Bruno Caltrain",18,,,
"151_20110701","14:21:00","14:21:00","So. San Francisco Caltrain",19,,,
"151_20110701","14:27:00","14:27:00","Bayshore Caltrain",20,,,
"151_20110701","14:32:00","14:32:00","22nd Street Caltrain",21,,,
"151_20110701","14:41:00","14:41:00","San Francisco Caltrain",22,,,
"154_20110701","14:07:00","14:07:00","San Francisco Caltrain",1,,,
"154_20110701","14:12:00","14:12:00","22nd Street Caltrain",2,,,
"154_20110701","14:17:00","14:17:00","Bayshore Caltrain",3,,,
"154_20110701","14:23:00","14:23:00","So. San Francisco Caltrain",4,,,
"154_20110701","14:27:00","14:27:00","San Bruno Caltrain",5,,,
"154_20110701","14:31:00","14:31:00","Millbrae Caltrain",6,,,
"154_20110701","14:35:00","14:35:00","Burlingame Caltrain",7,,,
"154_20110701","14:38:00","14:38:00","San Mateo Caltrain",8,,,
"154_20110701","14:41:00","14:41:00","Hayward Park Caltrain",9,,,
"154_20110701","14:44:00","14:44:00","Hillsdale Caltrain",10,,,
"154_20110701","14:47:00","14:47:00","Belmont Caltrain",11,,,
"154_20110701","14:50:00","14:50:00","San Carlos Caltrain",12,,,
"154_20110701","14:55:00","14:55:00","Redwood City Caltrain",13,,,
"154_20110701","15:00:00","15:00:00","Menlo Park Caltrain",14,,,
"154_20110701","15:03:00","15:03:00","Palo Alto Caltrain",15,,,
"154_20110701","15:07:00","15:07:00","California Ave Caltrain",16,,,
"154_20110701","15:11:00","15:11:00","San Antonio Caltrain",17,,,
"154_20110701","15:15:00","15:15:00","Mountain View Caltrain",18,,,
"154_20110701","15:20:00","15:20:00","Sunnyvale Caltrain",19,,,
"154_20110701","15:24:00","15:24:00","Lawrence Caltrain",20,,,
"154_20110701","15:29:00","15:29:00","Santa Clara Caltrain",21,,,
"154_20110701","15:38:00","15:38:00","San Jose Caltrain",22,,,
"155_20110701","14:10:00","14:10:00","San Jose Caltrain",1,,,
"155_20110701","14:15:00","14:15:00","Santa Clara Caltrain",2,,,
"155_20110701","14:20:00","14:20:00","Lawrence Caltrain",3,,,
"155_20110701","14:24:00","14:24:00","Sunnyvale Caltrain",4,,,
"155_20110701","14:29:00","14:29:00","Mountain View Caltrain",5,,,
"155_20110701","14:33:00","14:33:00","San Antonio Caltrain",6,,,
"155_20110701","14:37:00","14:37:00","California Ave Caltrain",7,,,
"155_20110701","14:41:00","14:41:00","Palo Alto Caltrain",8,,,
"155_20110701","14:44:00","14:44:00","Menlo Park Caltrain",9,,,
"155_20110701","14:49:00","14:49:00","Redwood City Caltrain",10,,,
"155_20110701","14:53:00","14:53:00","San Carlos Caltrain",11,,,
"155_20110701","14:56:00","14:56:00","Belmont Caltrain",12,,,
"155_20110701","14:59:00","14:59:00","Hillsdale Caltrain",13,,,
"155_20110701","15:02:00","15:02:00","Hayward Park Caltrain",14,,,
"155_20110701","15:05:00","15:05:00","San Mateo Caltrain",15,,,
"155_20110701","15:08:00","15:08:00","Burlingame Caltrain",16,,,
"155_20110701","15:13:00","15:13:00","Millbrae Caltrain",17,,,
"155_20110701","15:17:00","15:17:00","San Bruno Caltrain",18,,,
"155_20110701","15:21:00","15:21:00","So. San Francisco Caltrain",19,,,
"155_20110701","15:27:00","15:27:00","Bayshore Caltrain",20,,,
"155_20110701","15:32:00","15:32:00","22nd Street Caltrain",21,,,
"155_20110701","15:41:00","15:41:00","San Francisco Caltrain",22,,,
